File Name,Variable Name,Brief Description,Variable Type,Variable Length,Values,Required ,Null Value
Dataset One NEMS-C,Q90a,Price/LB beef 4%-7% fat,Numeric,255,Currency ($),No,Yes
Dataset One NEMS-C,Q90b,% fat beef 4%-7% fat,Integer,255,4-7,No,Yes
Dataset One NEMS-C,Q91,Comments beef 4%-7% fat,Text,255,unlimited,No,Yes
Dataset One NEMS-C,Q91a,Price/LB beef 10% fat,Numeric,255,Currency ($),No,Yes
Dataset One NEMS-C,Q91b,% fat beef 10% fat,Integer,255,10,No,Yes
Dataset One NEMS-C,Q92,Comments beef 10% fat,Text,255,unlimited,No,Yes
Dataset One NEMS-C,Q92a,Price/LB beef 15% fat,Numeric,255,Currency ($),No,Yes
Dataset One NEMS-C,Q92b,% fat beef 15% fat,Integer,255,15,No,Yes
Dataset One NEMS-C,Q93,Comments beef 15% fat,Text,255,unlimited,No,Yes
Dataset One NEMS-C,Q93a,Price/LB beef 20%-30% fat,Numeric,255,Currency ($),No,Yes
Dataset One NEMS-C,Q93b,% fat beef 20%-30% fat,Integer,255,20-27,No,Yes
Dataset One NEMS-C,Q94,Comments beef 20%-30% fat,Text,255,unlimited,No,Yes
Dataset One NEMS-C,Q95_1,Available hot dogs fat free,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q95_2,Available hot dogs low fat,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q95_3,Available hot dogs regular fat,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q95_4,Available hot dogs none,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q96a,Brand fat free hot dogs,Integer,255,"1=Ball Park, 2=Oscar Meyer, 3=other",No,Yes
Dataset One NEMS-C,Q96b,Price/package fat free hot dogs,Numeric,255,Currency ($),No,Yes
Dataset One NEMS-C,Q96c,Oz/package fat free hot dogs,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q96d,Hot dogs/package fat free hot dogs,Integer,255,?1,No,Yes
Dataset One NEMS-C,Q96e,Fat (g)/serving fat free hot dogs,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q96f,Kcal/serving fat free hot dogs,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q96g,Sodium/serving fat free hot dogs,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q97,Comments fat free hot dogs,Text,255,unlimited,No,Yes
Dataset One NEMS-C,Q98a,Brand low fat hot dog,Integer,255,"1=Ball Park, 2=Oscar Meyer, 3=other",No,Yes
Dataset One NEMS-C,Q98b,Price/package low fat hot dog,Numeric,255,Currency ($),No,Yes
Dataset One NEMS-C,Q98c,Oz/package low fat hot dog,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q98d,Hot dogs/package low fat hot dog,Integer,255,?1,No,Yes
Dataset One NEMS-C,Q98e,Fat (g)/serving low fat hot dog,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q98f,Kcal/serving low fat hot dog,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q98g,Sodium/serving low fat hot dog,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q99,Comments low fat hot dog,Text,255,unlimited,No,Yes
Dataset One NEMS-C,Q100a,Brand regular fat hot dog,Integer,255,"1=Ball Park, 2=Oscar Meyer, 3=other",No,Yes
Dataset One NEMS-C,Q100b,Price/package regular fat hot dog,Numeric,255,Currency ($),No,Yes
Dataset One NEMS-C,Q100c,Oz/package regular fat hot dog,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q100d,Hot dogs/package regular fat hot dog,Integer,255,?1,No,Yes
